"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,4,7.36862265171397,9.73634247441098,4
"X7",15.4333622973756,15.056319494816,1.21895937085174e-47,2.7,13.4235443864914,17.4431802082598,4
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,1,21.1667763113412,27.402173620098,4
"X9",0.00138340718568055,0.361910962109671,0.723254855671478,15,-0.00423610200451399,0.00700291637587509,4
"X1",24.7006527767455,15.1757451564198,2.59480357301651e-44,1.5,21.4888071988591,27.9124983546318,5
"X10",0.0011246154015739,0.266233513867251,0.799470240777411,15.6,-0.00295511401480009,0.00520434481794789,5
"X11",0.00175606454864607,0.340764857476145,0.748109108582187,15.5,-0.00351613609827655,0.0070282651955687,5
"X12",0.00167067790888131,0.32020835919099,0.772072528265852,16,-0.00297955789671638,0.006320913714479,5
"X13",0.00349010004202729,0.587601952603523,0.582757605098381,12.8,-0.00498773785365558,0.0119679379377102,5
"X14",0.00314139386418308,0.522989802093668,0.620314648017317,13.5,-0.00523961481310787,0.011522402541474,5
"X15",0.00343093236652939,0.602502811278403,0.563703822943375,12,-0.00559814867025854,0.0124600134033173,5
"X16",0.00114422731679296,0.318670385960941,0.756485445816414,15.5,-0.00361408194661248,0.00590253658019839,5
"X17",0.0026648041046576,0.491175636273206,0.638868918288493,13.7,-0.00520512550834321,0.0105347337176584,5
"X18",0.00124288906204353,0.286510118621047,0.782954220462776,16,-0.00337206823296953,0.00585784635705659,5
"X19",0.00109495801112767,0.31654533006239,0.755778010869964,14.9,-0.0039543223871853,0.00614423840944063,5
"X2",2.09814440542231,11.2525494203242,1.0513995678856e-25,8,1.73164853584478,2.46464027499984,5
"X20",0.00257197382842202,0.482422330987499,0.646027800236816,13.5,-0.0046162458922449,0.00976019354908895,5
"X3",3.80475811299471,12.8626229396887,6.45600337657611e-30,6.2,3.22374078454436,4.38577544144506,5
"X4",3.92527826172135,13.0504952228569,1.04398450069956e-34,5.7,3.33522711658357,4.51532940685912,5
"X5",3.95839885464179,12.9829658315824,2.87945278083221e-36,6.1,3.36065660539624,4.55614110388733,5
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,4,7.36862265171397,9.73634247441098,5
"X7",15.4333622973756,15.056319494816,1.2189593708517e-47,3,13.4235443864914,17.4431802082598,5
"X8",24.2844749657196,15.2963090710133,4.62498394528747e-44,1.5,21.1667763113412,27.402173620098,5
"X9",0.00138340718568055,0.361910962108639,0.723254855672302,15,-0.00423610200451401,0.00700291637587511,5
"X1",35.5375486317235,15.3410470234803,4.22279169181944e-45,1,30.9660729255966,40.1090243378504,6
"X10",0.00112461540157374,0.266233513866849,0.79947024077773,15.6,-0.00295511401480024,0.00520434481794771,6
"X11",0.00175606454864593,0.34076485747591,0.748109108582371,15.5,-0.00351613609827672,0.00702826519556858,6
"X12",0.00167067790888119,0.32020835919108,0.772072528265781,16,-0.00297955789671648,0.00632091371447887,6
"X13",0.00349010004202718,0.587601952603467,0.582757605098425,12.8,-0.00498773785365567,0.01196793793771,6
